kstar_1,kstar_2,mass_1,mass_2,porb,ecc,metallicity,tphysf,mass0_1,mass0_2,rad_1,rad_2,lum_1,lum_2,massc_1,massc_2,radc_1,radc_2,menv_1,menv_2,renv_1,renv_2,omega_spin_1,omega_spin_2,B_1,B_2,bacc_1,bacc_2,tacc_1,tacc_2,epoch_1,epoch_2,tms_1,tms_2,bhspin_1,bhspin_2,tphys,binfrac
1.0,0.0,1.5903415233433038,0.2820662883186365,49.069276339174145,0.03332417134515085,0.0002,13700.0,1.5903415233433038,0.2820662883186365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4536393150428454
1.0,1.0,3.128960616049543,1.0151203414563668,2919893.8829431413,0.46258798790368033,0.0002,13700.0,3.128960616049543,1.0151203414563668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5767026155779236
0.0,0.0,0.09352996282233281,0.08550006038712989,2763620.76251393,0.4829965655387965,0.0002,13700.0,0.09352996282233281,0.08550006038712989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0273838471469576
0.0,0.0,0.4141005454854083,0.29605848976566645,331528.35077108536,0.4389339076177341,0.0002,13700.0,0.4141005454854083,0.29605848976566645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2881266834105683
1.0,1.0,7.890270903043827,5.492936580056617,105.16687815243247,0.28340588000593203,0.0002,13700.0,7.890270903043827,5.492936580056617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8318120871596756
0.0,0.0,0.11770011124382353,0.0808573695052262,11812.992386992304,0.6426715008741297,0.0002,13700.0,0.11770011124382353,0.0808573695052262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067666661371391
0.0,0.0,0.381068832139047,0.3061637330629493,45836.92272869738,0.5769454332133614,0.0002,13700.0,0.381068832139047,0.3061637330629493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27355829859742764
0.0,0.0,0.17278199422404059,0.08692734922553862,128630.70297382947,0.6112771372959058,0.0002,13700.0,0.17278199422404059,0.08692734922553862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13494380452241636
1.0,0.0,0.7270947275544815,0.338815872162034,20203665.347961415,0.5424682030179646,0.0002,13700.0,0.7270947275544815,0.338815872162034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3867837526433697
1.0,1.0,1.2679295219367137,0.8462379348182385,2633.645671723258,0.09238752670854068,0.0002,13700.0,1.2679295219367137,0.8462379348182385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4213782295403375
